Chemical Formula;Molecular Weight (monoisotopic);Generic Name;CAS Number
C18H29N3O5;367,210721; Bambuterol;81732-46-9
C23H29NO3;367,214744; Benzethidine;3691-78-9
C5H11ClHgN2O2;368,021531; Chlormerodrin;62-37-3
C10H13N2O11P;368,025696; Orotidine-5'-Monophosphate;
C17H13BrN4O;368,027274; N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE;
C16H11F3N2O3S;368,044248; Barbituric acid derivative;
C20H17ClN2O3;368,092770; Ketazolam;27223-35-4
C18H16N4O3S;368,094311; N-hydroxy-5-[(3-phenyl-5,6-dihydroimidazo[1,2-a]pyrazin-7(8H)-yl)carbonyl]thiophene-2-carboxamide;
C19H16N2O6;368,100836; 4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid;
C20H21ClN4O;368,140389; N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea;
C18H20N6OS;368,141930; 4-METHYL-5-{(2E)-2-[(4-MORPHOLIN-4-YLPHENYL)IMINO]-2,5-DIHYDROPYRIMIDIN-4-YL}-1,3-THIAZOL-2-AMINE;
C24H21N2P;368,144235; 2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE;
C20H24N4O3;368,184841; GLYCYLALANYL-N-2-NAPHTHYL-L-PROLINEAMIDE;
C20H32O6;368,219889; Prostaglandin G2;
C21H28N4O2;368,221226; N-[(1S)-1-{1-[(1R,3E)-1-ACETYLPENT-3-EN-1-YL]-1H-1,2,3-TRIAZOL-4-YL}-1,2-DIMETHYLPROPYL]BENZAMIDE;
C23H30NO3;368,222569; Propantheline;298-50-0
C26H28N2;368,225249; Cinnarizine;298-57-7
C19H32N2O5;368,231122; Perindopril;107133-36-8
C20H28N6O;368,232460; N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL;
C19H28N8;368,243693; 6-(CYCLOHEXYLAMINO)-9-[2-(4-METHYLPIPERAZIN-1-YL)-ETHYL]-9H-PURINE-2-CARBONITRILE;
C21H36O5;368,256274; Carboprost Tromethamine;58551-69-2
C24H48O2;368,365431; Hexadecyl Octanoate;29710-31-4
C13H9Br2NO2;368,900004; N-(3,5-dibromo-4-hydroxyphenyl)benzamide;
C14H15N3O5S2;369,045312; N-({[4-(AMINOSULFONYL)PHENYL]AMINO}CARBONYL)-4-METHYLBENZENESULFONAMIDE;
C11H19N3O5S3;369,048683; AL4623;
C13H19AsF3NO3;369,053300; 1-(2-nitrophenyl)-2,2,2-trifluoroethyl]-arsenocholine;
C18H13Cl2N5;369,054801; 5-(2,3-dichlorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine;
C16H14F3N3O2S;369,075882; Lansoprazole;103577-45-3
C14H20BrN5O2;369,080038; Bromo-WR99210;
C16H15N7S2;369,083035; FR117016;
C17H24BrNO3;369,093956; Homatropine Methylbromide;80-49-9
C20H20ClN3S;369,106646; N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine;
C20H20ClN3O2;369,124405; CRA_10991;
C21H23NO5;369,157623; Heroin;561-27-3
C19H20FN5O2;369,160103; 8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine;
C19H23N5OS;369,162331; (3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(benzylsulfanyl)methyl]pyrrolidin-3-ol;
C17H27N3O4S;369,172227; Amisulpride;53583-79-2
C19H23N5O3;369,180090; Trimetrexate;52128-35-5
C21H24FN3O2;369,185255; D-phenylalanyl-N-(3-fluorobenzyl)-L-prolinamide;
C21H27N3O3;369,205242; (METHYLPYRIDAZINE PIPERIDINE ETHYLOXYPHENYL)ETHYLACETATE;
C20H27N5O2;369,216475; Cilostazol;73963-72-1
C23H31NO3;369,230394; Norgestimate;35189-28-7
C11H10BrF3N2O4;369,977604; (R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE;
C16H14N6O3S;370,084809; 4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE;
C16H23BrN2O3;370,089205; Remoxipride;80125-14-0
C19H18N2O4S;370,098728; parecoxib;
C20H14N6O2;370,117824; N-{3-[5-(1H-1,2,4-triazol-3-yl)-1H-indazol-3-yl]phenyl}furan-2-carboxamide;
C18H23ClO6;370,118316; Radicicol;
C20H22N2O3S;370,135113; N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE;
C20H22N2O5;370,152872; Balanol Analog 1;
C20H22N2O5;370,152872; (2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide;
C21H26N2S2;370,153740; Thioridazine;50-52-2
C22H20N5O;370,166785; CRA_23653;
C18H22N6O3;370,175339; 2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine;
C18H22N6O3;370,175339; 4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE;
C23H22N4O;370,179361; (1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE;
C19H26N6O2;370,211724; OLOMOUCINE II;
C22H30N2O3;370,225643; 5-(7-(5-HYDRO-4-ETHYL-2-OXAZOLYL)PHENOXY)HEPTYL)-3-METHYL ISOXAZOLE;
C21H30N4O2;370,236876; (S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide;
C21H36FO2P;370,243695; Methoxy arachidonyl fluorophosphonate;
C24H34O3;370,250795; Rimexolone;49697-38-3
C13H10ClN3O4S2;370,980125; Lornoxicam;70374-39-9
C13H14BrN3O3S;370,993925; 5-bromo-3-(pyrrolidin-1-ylsulfonyl)-1H-indole-2-carboxamide;
C6H12N2O4Pt;371,044481; Carboplatin;41575-94-4
C19H14FNO4S;371,062757; 3-{[(3-FLUORO-3'-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID;
C18H14ClN3O4;371,067284; N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE;
C16H21NO5S2;371,086114; 2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate;
C21H13N3O4;371,090606; 4-[8-(3-nitrophenyl)-1,7-naphthyridin-6-yl]benzoic acid;
C19H17NO7;371,100502; Nedocromil;69049-73-6
C19H18ClN3O3;371,103669; Camazepam;36104-80-0
C19H18FN3O4;371,128134; [5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE;
C19H21N3O3S;371,130362; (R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide;
C19H21N3O3S;371,130362; N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide;
C19H21N3O3S;371,130362; (S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide;
C19H21N3O3S;371,130362; (3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE;
C19H21N3O5;371,148121; Isradipine;75695-93-1
C19H22ClN5O;371,151288; Trazodone;19794-93-5
C19H25N5O3;371,195740; 9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine;
C26H29NO;371,224915; Tamoxifen;10540-29-1
C26H29NO;371,224915; Tamoxifen;10540-29-1
C20H29N5O2;371,232125; (S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide;
C13H9BrO6S;371,930321; 4-BROMO-3-(CARBOXYMETHOXY)-5-(4-HYDROXYPHENYL)THIOPHENE-2-CARBOXYLIC ACID;
C12H9IN2O4;371,960700; N-[(4-HYDROXY-8-IODOISOQUINOLIN-3-YL)CARBONYL]GLYCINE;
C13H12N2O5S3;371,990834; AL6528;
C17H12N2O4S2;372,023848; (Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE;
C16H10Cl2N6O;372,029314; 4-[4-AMINO-6-(2,6-DICHLORO-PHENOXY)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE;
C19H17BrO3;372,036107; 3-[1-(4-BROMO-PHENYL)-2-METHYL-PROPYL]-4-HYDROXY-CHROMEN-2-ONE;
C20H16FeN2O2;372,056120; Salophen iron chelate;
C18H21NaO5S;372,100739; Conjugated Estrogens;438-67-5
C21H16N4OS;372,104482; 3-[4-(2-METHYL-IMIDAZO[4,5-C]PYRIDIN-1-YL)BENZYL]-3H-BENZOTHIAZOL-2-ONE;
C13H24O10S;372,109018; Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside;
C19H20N2O4S;372,114378; CP-271485;
C20H16N6S;372,115715; (2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile;
C22H20N4O2;372,158626; 5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE;
C18H23F3N2O3;372,166077; 1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE);
C21H20N6O;372,169859; N,N'-Bis(4-Amino-2-Methylquinolin-6-Yl)Urea;
C22H28O5;372,193674; 4-{[(14beta,17alpha)-3-hydroxyestra-1,3,5(10)-trien-17-yl]oxy}-4-oxobutanoic acid;
C23H24N4O;372,195011; 6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine;
C23H24N4O;372,195011; 5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine;
C21H28N2O4;372,204907; 4-(2-aminoethoxy)-N-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide;
C20H28N4O3;372,216141; (S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide;
C25H30N3;372,243973; Gentian Violet;14426-25-6
C24H36O3;372,266445; Nabilone;51022-71-0
C23H36N2O2;372,277678; Finasteride;98319-26-7
C6H7HgN2O2S;372,993449; 3-Mercuri-4-Aminobenzenesulfonamide;
C13H16N3O8P;373,067501; 9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE;
C19H14F3N3O2;373,103811; 1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA;
C21H15N3O4;373,106256; Deferasirox;201530-41-8
C20H20FNO3S;373,114792; Prasugrel;150322-43-3
C22H19N3OS;373,124883; 1-[(3S)-5-PHENYL-3-THIOPHEN-2-YL-3H-1,4-BENZODIAZEPIN-2-YL]AZETIDIN-3-OL;
C19H15N7O2;373,128723; HYDROXY(OXO)(3-{[(2Z)-4-[3-(1H-1,2,4-TRIAZOL-1-YLMETHYL)PHENYL]PYRIMIDIN-2(5H)-YLIDENE]AMINO}PHENYL)AMMONIUM;
C20H24ClN3S;373,137946; Prochlorperazine;58-38-8
C23H23N3O2;373,179027; 6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE;
C22H28ClNO2;373,180857; Amineptine;57574-09-1
C22H23N5O;373,190260; (1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime;
C20H28ClN5;373,203324; N-{(3S,4S)-4-[(6-AMINO-4-METHYLPYRIDIN-2-YL)METHYL]PYRROLIDIN-3-YL}-N'-(4-CHLOROBENZYL)ETHANE-1,2-DIAMINE;
C20H28ClN5;373,203324; N-{(3R,4S)-4-[(6-amino-4-methylpyridin-2-yl)methyl]pyrrolidin-3-yl}-N'-(3-chlorobenzyl)ethane-1,2-diamine;
C13H14N2O5S3;374,006484; AL7182;
C14H15ClN2O4S2;374,016176; N-(4-chlorobenzyl)-N-methylbenzene-1,4-disulfonamide;
C18H15FN2O4S;374,073656; (2S)-({(5Z)-5-[(5-ETHYL-2-FURYL)METHYLENE]-4-OXO-4,5-DIHYDRO-1,3-THIAZOL-2-YL}AMINO)(4-FLUOROPHENYL)ACETIC ACID;
C15H22N2O5S2;374,097013; N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide;
C12H18N6O6S;374,100853; 5'-O-(N-Ethyl-Sulfamoyl)Adenosine;
C20H14N4O4;374,101505; 4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE;
C12H19N6O6P;374,110369; PUROMYCIN AMINONUCLEOSIDE-5'-MONOPHOSPHATE;
C21H18N4OS;374,120132; (10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one;
C22H18N2O4;374,126657; FAMOXADONE;
C19H22N2O4S;374,130028; [4-(4-PHENYL-PIPERIDIN-1-YL)-BENZENESULFONYLAMINO]-ACETIC ACID;
C22H27ClO3;374,164872; Cyproterone;2098-66-0
C22H22N4O2;374,174276; Indole Naphthyridinone;
C22H22N4O2;374,174276; PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE);
C20H27N2O3P;374,175929; N-[[2-METHYL-4-HYDROXYCARBAMOYL]BUT-4-YL-N]-BENZYL-P-[PHENYL]-P-[METHYL]PHOSPHINAMID;
C21H27ClN2O2;374,176106; Hydroxyzine;68-88-2
C15H26N4O7;374,180149; Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanyl-D-Alanine;
C21H22N6O;374,185509; 2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide;
C22H30O5;374,209324; Methylprednisolone;83-43-2
C22H30O5;374,209324; SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER;
C21H30N2O4;374,220557; (2S)-8-[(tert-butoxycarbonyl)amino]-2-(1H-indol-3-yl)octanoic acid;
C23H34O4;374,245710; 4-(3,14-Dihydroxy-10,13-Dimethyl-Hexadecahydro-Cyclopenta[a]Phenanthren-17-Yl)-5h-Furan-2-One;
C18H38N4S2;374,253789; N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane;
C11H14N5O8P;375,057999; GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE;
C19H14ClN7;375,099921; 4-[4-AMINO-6-(5-CHLORO-1H-INDOL-4-YLMETHYL)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE;
C19H14ClN7;375,099921; 2-(4-CHLOROBENZYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE;
C16H17N5O4S;375,100125; Azidocillin;17243-38-8
C23H15F2NO2;375,107085; 6-Fluoro-2-(2'-Fluoro-1,1'-Biphenyl-4-Yl)-3-Methylquinoline-4-Carboxylic Acid;
C20H25NO2S2;375,132670; Tiagabine;115103-54-3
C21H23ClFNO2;375,140135; Haloperidol;52-86-8
C23H19F2N3;375,154704; (6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine;
C19H22FN3O4;375,159434; Gatifloxacin;112811-59-3
C24H25NO3;375,183444; Benzylmorphine;14297-87-1
C22H25N5O;375,205910; 6-ETHYL-5-[9-(3-METHOXYPROPYL)-9H-CARBAZOL-2-YL]PYRIMIDINE-2,4-DIAMINE;
C19H29N5O3;375,227040; (2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine;
C13H7Cl3N2O3S;375,924296; 2,5-DICHLORO-N-(5-CHLORO-1,3-BENZOXAZOL-2-YL)BENZENESULFONAMIDE;
C17H10Cl2N2O4;376,001762; I-5;
C11H13IN4O3;376,003234; 7-(5-DEOXY-BETA-D-RIBOFURANOSYL)-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE;
C17H14BrFN2O2;376,022269; Haloxazolam;59128-97-1
C18H11F3N2O2S;376,049333; {3-[(4,5,7-TRIFLUORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-1H-INDOL-1-YL}ACETIC ACID;
C16H14N3O6S;376,060331; 3-(4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino)-Indolizine-2-Carboxylic Acid;
C18H18Cl2N4O;376,085767; (4R)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile;
C22H17O4P;376,086446; Bis-Napthyl Beta-Ketophosphonic Acid;
C21H17ClN4O;376,109089; N-BENZYL-4-[4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL]-1H-PYRROLE-2-CARBOXAMIDE;
C19H24N2O2S2;376,127919; (5R)-N,N-DIETHYL-5-METHYL-2-[(THIOPHEN-2-YLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE;
C17H20N4O6;376,138284; Riboflavin;83-88-5
C20H20N6O2;376,164774; [1-(6-{6-[(1-methylethyl)amino]-1H-indazol-1-yl}pyrazin-2-yl)-1H-pyrrol-3-yl]acetic acid;
C24H24O4;376,167459; GC-24;
C16H28N2O8;376,184566; N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-;
C20H28N2O5;376,199822; Enalapril;75847-73-3
C20H28N2O5;376,199822; Remifentanil;132875-61-7
C22H29FO4;376,204988; Fluorometholone;426-13-1
C22H29FO4;376,204988; Desoximetasone;382-67-2
C23H28N4O;376,226312; Bis-Benzamidine;
C17H13ClNO5P;377,021987; N-(4-CHLOROPHENYL)-3-(PHOSPHONOOXY)NAPHTHALENE-2-CARBOXAMIDE;
C17H10F3N3O2S;377,044582; 2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1H-pyrrolo[2,3-b]pyridin-1-yl)acetic acid;
C21H13F2N3O2;377,097583; [2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone;
C21H16FN3OS;377,099811; 4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE;
C14H24N3O7P;377,135187; N'-Pyridoxyl-Lysine-5'-Monophosphate;
C21H19N3O4;377,137556; 6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER;
C20H19N5O3;377,148789; 7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE;
C20H19N5O3;377,148789; [4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID;
C18H24ClN5O2;377,161853; Fenethylline;670800,00
C22H23N3O3;377,173942; (3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE;
C22H23N3O3;377,173942; 2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide;
C23H24FN3O;377,190341; 2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone;
C22H27N5O;377,221561; 4-(BENZHYDRYLOXY)-1-[3-(1H-TETRAAZOL-5-YL)PROPYL]PIPERIDINE;
Mo7O24;377,740000; Heptamolybdate;
C21H14O7;378,073953; Nogalaviketone;
C11H17N5O8P;378,081474; N7-Methyl-Guanosine-5'-Monophosphate;
C13H19N2O9P;378,082817; N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE;
C17H18N2O6S;378,088557; Carbenicillin;4697-36-3
C17H16F6N2O;378,116682; Mefloquine;53230-10-7
C19H22O8;378,131468; (1aR,8S,13S,14S,15aR)-5,13,14-trihydroxy-3-methoxy-8-methyl-8,9,13,14,15,15a-hexahydro-6H-oxireno[k][2]benzoxacyclotetradecine-6,12(1aH)-dione;
C17H22N4O4S;378,136176; (2S,3S)-3-{3-[4-(METHYLSULFONYL)PHENYL]-1,2,4-OXADIAZOL-5-YL}-1-OXO-1-PYRROLIDIN-1-YLBUTAN-2-AMINE;
C25H18N2O2;378,136828; [4-(5-naphthalen-2-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid;
C24H18N4O;378,148061; 2-{[4-(4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline;
C22H26N4O2;378,205576; 3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide;
C22H26N4O2;378,205576; N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide;
C24H30N2O2;378,230728; Doxapram;309-29-5
C8H8Cl3N3O4S2;378,902180; Trichlormethiazide;133-67-5
C8H8Cl3N3O4S2;378,902180; 6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE;
C10H14N5O5PS2;379,017396; Adenosine-5'-(Dithio)Phosphate;
C18H14BrN5;379,043258; 3-bromo-5-phenyl-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine;
C18H14BrN5;379,043258; 3-bromo-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine;
C18H14BrN5;379,043258; 3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo[1,5-a]pyridin-7-amine;
C18H14BrN5;379,043258; 3-bromo-6-phenyl-N-(pyrimidin-5-ylmethyl)imidazo[1,2-a]pyridin-8-amine;
C11H18N5O8P;379,089299; 7n-Methyl-8-Hydroguanosine-5'-Monophosphate;
C13H20N2O9P;379,090642; Pyridoxyl-Glutamic Acid-5'-Monophosphate;
C22H21NO3S;379,124214; 3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid;
C17H22ClN5O3;379,141117; 1-(5-CHLORO-2-METHOXYPHENYL)-3-{6-[2-(DIMETHYLAMINO)-1-METHYLETHOXY]PYRAZIN-2-YL}UREA;
C18H25N3O4S;379,156577; Dansyllysine;1101-84-4
C22H22FN3O2;379,169605; Droperidol;548-73-2
C21H25N5O2;379,200825; 1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide;
C19H29N3O5;379,210721; N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE;
C24H29NO3;379,214744; Donepezil;120014-06-4
C24H29NO3;379,214744; 1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE;
C18H29N5O4;379,221954; Benzoyl-Arginine-Alanine-Methyl Ketone;
C23H29N3O2;379,225977; beta-phenyl-D-phenylalanyl-N-propyl-L-prolinamide;
C21H37N3O3;379,283492; N-[12-(1H-imidazol-1-yl)dodecanoyl]-L-leucine;
C11H12N2O5S4;379,962904; AL5300;
C18H15Cl3N2O;380,024996; Econazole;27220-47-9
C18H15Cl3N2O;380,024996; 1-[(2S)-2-[(4-CHLOROBENZYL)OXY]-2-(2,4-DICHLOROPHENYL)ETHYL]-1H-IMIDAZOLE;
C14H9F5N2O3S;380,025404; N-(2,3,4,5,6-Pentaflouro-Benzyl)-4-Sulfamoyl-Benzamide;
C18H15BrN5;380,051083; (5Z)-5-(3-BROMOCYCLOHEXA-2,5-DIEN-1-YLIDENE)-N-(PYRIDIN-4-YLMETHYL)-1,5-DIHYDROPYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE;
C18H18Cl2N2O3;380,069448; Piclamilast;144035-83-6
C17H20N2O6S;380,104207; Meticillin;61-32-5
C23H21ClO3;380,117922; Chlorotrianisene;569-57-3
C19H19F3N2O3;380,134777; 4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid;
C21H21FN4O2;380,164854; 4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one;
C21H21FN4O2;380,164854; [5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE;
C20H28O5S;380,165745; Ecabet;86408-72-2
C22H24N2O4;380,173607; 4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid;
C19H28N2O4S;380,176978; [2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala;
C21H29FO5;380,199902; Fludrocortisone;127-31-1
C23H28N2O3;380,209993; Bopindolol;69010-88-4
C27H56;380,438202; Lipid Fragment;
C21H29N7O18P3;380,990000; 4-Oxo-Nicotinamide-Adenine Dinucleotide Phosphate;
C17H14BrN6;381,046332; TRIAZOLOPYRIMIDINE;
C17H14F3N3O2S;381,075882; Celecoxib;169590-42-5
C16H17Cl2N5O2;381,075930; 4-{[(2,6-dichlorophenyl)carbonyl]amino}-N-piperidin-4-yl-1H-pyrazole-3-carboxamide;
C18H24ClN3O2S;381,127775; 1-(3-chloro-4-methylphenyl)-3-{2-[({5-[(dimethylamino)methyl]-2-furyl}methyl)thio]ethyl}urea;
C18H25N2O3S2;381,130659; 3-{[(2,2,5,5-TETRAMETHYL-1-OXO-4-PHENYL-2,5-DIHYDRO-1H-PYRROLIUM-3-YL)METHYL]DISULFANYL}-D-ALANINE;
C19H17F2N7;381,151350; N-((2-aminopyrimidin-5-yl)methyl)-5-(2,6-difluorophenyl)-3-ethylpyrazolo[1,5-a]pyrimidin-7-amine;
